Position,Intensity
2.000702,469
2.010815,436
2.020929,472
2.031043,480
2.041157,465
2.051271,458
2.061385,423
2.071498,411
2.081612,434
2.091726,461
2.10184,477
2.111954,494
2.122067,480
2.132181,491
2.142295,490
2.152409,451
2.162523,482
2.172637,436
2.18275,418
2.192864,467
2.202978,438
2.213092,406
2.223206,458
2.23332,429
2.243433,452
2.253547,451
2.263661,445
2.273775,424
2.283889,380
2.294003,437
2.304116,379
2.31423,363
2.324344,430
2.334458,401
2.344572,371
2.354685,411
2.364799,388
2.374913,375
2.385027,377
2.395141,313
2.405255,327
2.415368,332
2.425482,350
2.435596,307
2.44571,267
2.455824,277
2.465938,289
2.476051,270
2.486165,282
2.496279,307
2.506393,257
2.516507,279
2.52662,269
2.536734,248
2.546848,203
2.556962,204
2.567076,179
2.57719,197
2.587303,220
2.597417,176
2.607531,170
2.617645,151
2.627759,197
2.637873,152
2.647986,161
2.6581,137
2.668214,142
2.678328,123
2.688442,143
2.698555,124
2.708669,114
2.718783,123
2.728897,122
2.739011,99
2.749125,91
2.759238,107
2.769352,101
2.779466,96
2.78958,92
2.799694,74
2.809808,92
2.819921,83
2.830035,68
2.840149,66
2.850263,78
2.860377,68
2.870491,66
2.880604,65
2.890718,65
2.900832,49
2.910946,61
2.92106,51
2.931173,47
2.941287,54
2.951401,39
2.961515,49
2.971629,41
2.981743,46
2.991856,43
3.00197,31
3.012084,48
3.022198,36
3.032312,35
3.042426,51
3.052539,33
3.062653,36
3.072767,49
3.082881,25
3.092995,42
3.103108,31
3.113222,30
3.123336,31
3.13345,19
3.143564,21
3.153678,45
3.163791,30
3.173905,30
3.184019,36
3.194133,34
3.204247,32
3.214361,24
3.224474,33
3.234588,29
3.244702,24
3.254816,27
3.26493,28
3.275043,20
3.285157,31
3.295271,19
3.305385,22
3.315499,32
3.325613,31
3.335726,21
3.34584,24
3.355954,22
3.366068,27
3.376182,27
3.386296,26
3.396409,29
3.406523,27
3.416637,33
3.426751,26
3.436865,23
3.446979,24
3.457092,16
3.467206,28
3.47732,19
3.487434,16
3.497548,23
3.507661,19
3.517775,16
3.527889,19
3.538003,21
3.548117,14
3.558231,20
3.568344,21
3.578458,16
3.588572,19
3.598686,14
3.6088,23
3.618914,13
3.629027,18
3.639141,28
3.649255,22
3.659369,21
3.669483,14
3.679596,19
3.68971,27
3.699824,24
3.709938,20
3.720052,23
3.730166,23
3.740279,21
3.750393,15
3.760507,26
3.770621,18
3.780735,22
3.790849,7
3.800962,14
3.811076,17
3.82119,16
3.831304,17
3.841418,16
3.851531,16
3.861645,27
3.871759,7
3.881873,16
3.891987,10
3.902101,23
3.912214,12
3.922328,15
3.932442,16
3.942556,10
3.95267,10
3.962784,13
3.972897,17
3.983011,19
3.993125,14
4.003239,14
4.013353,20
4.023467,10
4.03358,12
4.043694,21
4.053808,16
4.063922,6
4.074036,20
4.084149,12
4.094263,23
4.104377,18
4.114491,17
4.124605,14
4.134719,8
4.144832,9
4.154946,15
4.16506,16
4.175174,13
4.185288,16
4.195402,6
4.205515,10
4.215629,7
4.225743,15
4.235857,20
4.245971,9
4.256084,15
4.266198,15
4.276312,18
4.286426,15
4.29654,12
4.306654,14
4.316767,16
4.326881,13
4.336995,14
4.347109,5
4.357223,19
4.367337,10
4.37745,6
4.387564,16
4.397678,9
4.407792,14
4.417906,16
4.42802,16
4.438133,10
4.448247,14
4.458361,11
4.468475,9
4.478589,11
4.488702,7
4.498816,12
4.50893,12
4.519044,14
4.529158,10
4.539272,8
4.549385,7
4.559499,10
4.569613,11
4.579727,16
4.589841,15
4.599955,12
4.610068,13
4.620182,10
4.630296,19
4.64041,15
4.650524,23
4.660637,20
4.670751,31
4.680865,20
4.690979,31
4.701093,23
4.711207,25
4.72132,28
4.731434,25
4.741548,17
4.751662,29
4.761776,35
4.77189,31
4.782003,28
4.792117,26
4.802231,27
4.812345,34
4.822459,21
4.832572,20
4.842686,30
4.8528,23
4.862914,14
4.873028,20
4.883142,20
4.893255,17
4.903369,20
4.913483,19
4.923597,20
4.933711,16
4.943825,15
4.953938,12
4.964052,14
4.974166,10
4.98428,4
4.994394,12
5.004508,15
5.014621,12
5.024735,11
5.034849,11
5.044963,20
5.055077,19
5.06519,14
5.075304,6
5.085418,16
5.095532,12
5.105646,11
5.11576,8
5.125873,15
5.135987,19
5.146101,5
5.156215,6
5.166329,13
5.176443,3
5.186556,4
5.19667,19
5.206784,6
5.216898,4
5.227012,12
5.237125,8
5.247239,9
5.257353,19
5.267467,12
5.277581,15
5.287695,13
5.297808,14
5.307922,12
5.318036,12
5.32815,7
5.338264,11
5.348378,15
5.358491,9
5.368605,6
5.378719,13
5.388833,14
5.398947,10
5.40906,11
5.419174,12
5.429288,8
5.439402,10
5.449516,11
5.45963,8
5.469743,13
5.479857,15
5.489971,16
5.500085,11
5.510199,4
5.520313,10
5.530426,11
5.54054,15
5.550654,12
5.560768,12
5.570882,7
5.580996,11
5.591109,12
5.601223,3
5.611337,5
5.621451,9
5.631565,8
5.641678,10
5.651792,16
5.661906,13
5.67202,5
5.682134,4
5.692248,12
5.702361,9
5.712475,9
5.722589,16
5.732703,9
5.742817,8
5.752931,12
5.763044,13
5.773158,8
5.783272,11
5.793386,10
5.8035,12
5.813613,11
5.823727,7
5.833841,9
5.843955,9
5.854069,7
5.864183,15
5.874296,9
5.88441,5
5.894524,9
5.904638,9
5.914752,8
5.924866,10
5.934979,5
5.945093,20
